auction_player,auction_league,population_id,auction_year,fk_name,fk_url,fk_count,fk_category,Auth,1,1.5,2,3,4,5,6,7,8,9,10,Total
Ralph Beard,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '10', '+': '1', 'Q': '0'}"
Murray Wier,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         2'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '13', '+': '1', 'Q': '2'}"
Ed Macauley,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '12', '+': '0', 'Q': '1'}"
Kevin O'Shea,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         2', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '         1', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '         1'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '2', 'Q': '1'}"
Jim McIntyre,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '0', 'Q': '1'}"
Manhattan,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '9', '+': '0', 'Q': '1'}"
Ralph Beard,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '10', '+': '1', 'Q': '0'}"
Murray Wier,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         2'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '13', '+': '1', 'Q': '2'}"
Ed Macauley,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '12', '+': '0', 'Q': '1'}"
Kevin O'Shea,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         2', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '         1', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '         1'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '2', 'Q': '1'}"
Jim McIntyre,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '0', 'Q': '1'}"
Manhattan,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '9', '+': '0', 'Q': '1'}"
Ralph Beard,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '10', '+': '1', 'Q': '0'}"
Murray Wier,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         2'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '13', '+': '1', 'Q': '2'}"
Ed Macauley,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '12', '+': '0', 'Q': '1'}"
Kevin O'Shea,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         2', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '         1', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '         1'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '2', 'Q': '1'}"
Jim McIntyre,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '0', 'Q': '1'}"
Manhattan,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '9', '+': '0', 'Q': '1'}"
Ralph Beard,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '10', '+': '1', 'Q': '0'}"
Murray Wier,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         2'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '13', '+': '1', 'Q': '2'}"
Ed Macauley,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '12', '+': '0', 'Q': '1'}"
Kevin O'Shea,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         2', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '         1', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '         1'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '2', 'Q': '1'}"
Jim McIntyre,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '0', 'Q': '1'}"
Manhattan,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '9', '+': '0', 'Q': '1'}"
Ralph Beard,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '10', '+': '1', 'Q': '0'}"
Murray Wier,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         2'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '13', '+': '1', 'Q': '2'}"
Ed Macauley,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '12', '+': '0', 'Q': '1'}"
Kevin O'Shea,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         2', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '         1', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '         1', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '         1'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '2', 'Q': '1'}"
Jim McIntyre,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '         1'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '11', '+': '0', 'Q': '1'}"
Manhattan,topps-magic-photos-all-american-basketball,54721,1948,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/murray-wier/summary/633272,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '         1'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         3', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '9', '+': '0', 'Q': '1'}"
